<order:6, edges:10, delta:5, colors: 4, graph:58, type:0, time:0.000024>
<order:6, edges:10, delta:5, colors: 4, graph:58, type:1, time:0.000088>
<order:6, edges:7, delta:3, colors: 2, graph:59, type:0, time:0.000007>
<order:6, edges:7, delta:3, colors: 2, graph:59, type:1, time:0.000023>
<order:6, edges:7, delta:3, colors: 4, graph:59, type:2, time:0.001127>
<order:6, edges:7, delta:3, colors: 4, graph:59, type:3, time:0.676428>
<order:6, edges:8, delta:4, colors: 3, graph:60, type:0, time:0.000006>
<order:6, edges:8, delta:4, colors: 3, graph:60, type:1, time:0.000028>
<order:6, edges:8, delta:4, colors: 5, graph:60, type:2, time:0.004188>
<order:6, edges:8, delta:4, colors: 5, graph:60, type:3, time:7.392026>
<order:6, edges:9, delta:5, colors: 3, graph:61, type:0, time:0.000031>
<order:6, edges:9, delta:5, colors: 3, graph:61, type:1, time:0.000033>
<order:6, edges:9, delta:5, colors: 6, graph:61, type:2, time:0.013386>
<order:6, edges:9, delta:5, colors: 6, graph:61, type:3, time:52.360661>
<order:6, edges:9, delta:4, colors: 4, graph:62, type:0, time:0.000024>
<order:6, edges:9, delta:4, colors: 4, graph:62, type:1, time:0.000053>
<order:6, edges:9, delta:4, colors: 5, graph:62, type:2, time:0.023377>
<order:6, edges:9, delta:4, colors: 5, graph:62, type:3, time:55.999809>
<order:6, edges:9, delta:4, colors: 3, graph:63, type:0, time:0.000008>
<order:6, edges:9, delta:4, colors: 3, graph:63, type:1, time:0.000037>
<order:6, edges:9, delta:4, colors: 5, graph:63, type:2, time:0.014291>
<order:6, edges:9, delta:4, colors: 5, graph:63, type:3, time:35.134494>
